InstitutionName,RD2017,RDRank,Citations,PatentsTOP250orALL,PatentsRank,ResearchRank,NationalRank
Mississippi Valley State University,806,444,#N/A,#N/A,0,#N/A,#N/A
Missouri State University,3215,291,56280,#N/A,0,#N/A,#N/A
Missouri University of Science and Technology,38243,127,#N/A,#N/A,0,895,208
Missouri Western State University,286,561,#N/A,#N/A,0,#N/A,#N/A
Monmouth University,899,427,12206,#N/A,0,#N/A,#N/A
Montana State University - Bozeman,#N/A,0,#N/A,#N/A,0,680,178
Montclair State University,5796,244,140069,#N/A,0,1436,297
Moravian College,184,588,#N/A,#N/A,0,#N/A,#N/A
Morehead State University,2860,300,#N/A,#N/A,0,#N/A,#N/A
Morehouse College,3667,274,#N/A,#N/A,0,#N/A,#N/A
Morehouse School of Medicine,36925,130,12682,17,142,#N/A,#N/A
Morgan State University,14978,180,40033,#N/A,0,#N/A,#N/A
Mount Holyoke College,3635,276,21010,1,241,#N/A,#N/A
Mountain State University,0,0,#N/A,#N/A,0,#N/A,#N/A
Muhlenberg College,721,456,#N/A,#N/A,0,#N/A,#N/A
Murray State University,2459,307,13767,#N/A,0,#N/A,#N/A
National Defense University,6293,235,#N/A,#N/A,0,#N/A,#N/A
National University,0,0,#N/A,#N/A,0,#N/A,#N/A
National University of Health Sciences,0,0,#N/A,#N/A,0,#N/A,#N/A
Naval Postgraduate School,60386,110,200922,#N/A,0,1525,306
Nebraska Wesleyan University,0,0,#N/A,#N/A,0,#N/A,#N/A
New College of Florida,998,411,2843,#N/A,0,#N/A,#N/A
New England College of Optometry,#N/A,0,#N/A,1,242,#N/A,#N/A
New Jersey City University,5442,246,1239,#N/A,0,#N/A,#N/A
New Jersey Institute of Technology,142164,83,563698,183,59,915,215
New Mexico Highlands University,1023,408,#N/A,5,174,#N/A,#N/A
New Mexico Institute of Mining and Technology,20491,156,#N/A,35,117,1479,300
New Mexico State University,106020,92,423824,40,112,815,197
New York Chiropractic College,348,548,#N/A,1,252,#N/A,#N/A
New York Institute of Technology,3236,288,47422,55,101,#N/A,#N/A
New York Law School,233,577,#N/A,#N/A,0,#N/A,#N/A
New York Medical College,15637,178,50551,27,125,1029,234
New York University,917744,9,4316647,833,11,45,19
Niagara University,1823,349,#N/A,#N/A,0,#N/A,#N/A
